년분기,행정동,업종명,점포_수,개업_점포_수,폐업_점포_수,프랜차이즈_점포_수
20191,가회동,철물점,1,0,0,0
20191,가회동,인테리어,7,0,0,0
20191,가회동,조명용품,2,0,0,0
20191,가회동,전자상거래업,15,0,0,0
20191,종로1·2·3·4가동,한식음식점,1037,39,48,88
20191,종로1·2·3·4가동,중식음식점,71,4,6,5
20191,종로1·2·3·4가동,일식음식점,88,4,5,16
20191,종로1·2·3·4가동,양식음식점,160,9,6,19
20191,종로1·2·3·4가동,제과점,41,9,3,22
20191,종로1·2·3·4가동,패스트푸드점,44,6,2,33
20191,종로1·2·3·4가동,치킨전문점,10,1,1,28
20191,종로1·2·3·4가동,분식전문점,228,6,2,26
20191,종로1·2·3·4가동,호프-간이주점,211,7,15,33
20191,종로1·2·3·4가동,커피-음료,214,14,13,110
20191,종로1·2·3·4가동,일반교습학원,40,1,2,0
20191,종로1·2·3·4가동,외국어학원,48,0,0,0
20191,종로1·2·3·4가동,예술학원,25,2,2,1
20191,종로1·2·3·4가동,스포츠 강습,27,2,3,1
20191,종로1·2·3·4가동,일반의원,56,4,2,0
20191,종로1·2·3·4가동,치과의원,59,0,1,0
20191,종로1·2·3·4가동,한의원,33,2,0,0
20191,종로1·2·3·4가동,당구장,50,0,0,1
20191,종로1·2·3·4가동,골프연습장,7,0,0,0
20191,종로1·2·3·4가동,PC방,7,0,1,0
20191,종로1·2·3·4가동,스포츠클럽,12,0,1,0
20191,종로1·2·3·4가동,자동차수리,9,0,2,1
20191,종로1·2·3·4가동,자동차미용,1,0,0,0
20191,종로1·2·3·4가동,미용실,29,2,2,4
20191,종로1·2·3·4가동,네일숍,14,0,0,0
20191,종로1·2·3·4가동,피부관리실,32,0,2,0
20191,종로1·2·3·4가동,세탁소,13,0,2,2
20191,종로1·2·3·4가동,가전제품수리,29,1,0,0
20191,종로1·2·3·4가동,부동산중개업,171,6,4,0
20191,종로1·2·3·4가동,여관,124,6,3,1
20191,종로1·2·3·4가동,고시원,6,0,0,0
20191,종로1·2·3·4가동,노래방,54,3,3,0
20191,종로1·2·3·4가동,슈퍼마켓,189,7,8,1
20191,종로1·2·3·4가동,편의점,14,5,0,123
20191,종로1·2·3·4가동,컴퓨터및주변장치판매,61,0,1,0
20191,종로1·2·3·4가동,핸드폰,40,1,2,1
20191,종로1·2·3·4가동,미곡판매,12,0,1,0
20191,종로1·2·3·4가동,육류판매,15,0,0,0
20191,종로1·2·3·4가동,수산물판매,24,0,0,0
20191,종로1·2·3·4가동,청과상,25,2,0,0
20191,종로1·2·3·4가동,반찬가게,75,2,1,1
20191,종로1·2·3·4가동,일반의류,564,14,11,1
20191,종로1·2·3·4가동,신발,39,0,2,0
20191,종로1·2·3·4가동,가방,51,0,1,0
20191,종로1·2·3·4가동,안경,27,0,1,7
20191,종로1·2·3·4가동,시계및귀금속,2396,42,45,2
20191,종로1·2·3·4가동,의약품,71,3,0,1
20191,종로1·2·3·4가동,의료기기,45,1,1,0
20191,종로1·2·3·4가동,서적,82,0,5,0
20191,종로1·2·3·4가동,문구,99,2,4,6
20191,종로1·2·3·4가동,화장품,134,8,5,27
20191,종로1·2·3·4가동,운동/경기용품,21,0,2,0
20191,종로1·2·3·4가동,자전거 및 기타운송장비,0,0,1,0
20191,종로1·2·3·4가동,완구,8,0,1,0
20191,종로1·2·3·4가동,섬유제품,132,0,5,1
20191,종로1·2·3·4가동,화초,52,1,0,0
20191,종로1·2·3·4가동,가구,17,1,2,0
20191,종로1·2·3·4가동,가전제품,174,0,0,0
20191,종로1·2·3·4가동,철물점,32,0,1,0
20191,종로1·2·3·4가동,인테리어,53,3,2,0
20191,종로1·2·3·4가동,조명용품,823,4,8,1
20191,종로1·2·3·4가동,전자상거래업,223,10,0,1
20191,종로5·6가동,한식음식점,285,5,5,19
20191,종로5·6가동,중식음식점,12,0,0,3
20191,종로5·6가동,일식음식점,17,1,1,2
20191,종로5·6가동,양식음식점,6,0,0,0
20191,종로5·6가동,제과점,5,0,0,3
20191,종로5·6가동,패스트푸드점,10,1,0,18
20191,종로5·6가동,치킨전문점,6,3,2,11
20191,종로5·6가동,분식전문점,47,1,1,4
20191,종로5·6가동,호프-간이주점,27,3,1,3
20191,종로5·6가동,커피-음료,59,4,0,13
20191,종로5·6가동,일반교습학원,5,0,0,0
20191,종로5·6가동,외국어학원,3,0,0,0
20191,종로5·6가동,예술학원,2,0,0,0
20191,종로5·6가동,일반의원,24,3,2,0
20191,종로5·6가동,치과의원,28,0,0,0
20191,종로5·6가동,한의원,38,0,3,0
20191,종로5·6가동,당구장,16,6,3,0
20191,종로5·6가동,PC방,1,0,0,0
20191,종로5·6가동,자동차수리,1,0,0,0
20191,종로5·6가동,미용실,19,1,0,1
20191,종로5·6가동,네일숍,1,0,0,0
20191,종로5·6가동,피부관리실,4,2,2,0
20191,종로5·6가동,세탁소,3,0,0,0
20191,종로5·6가동,가전제품수리,5,0,0,0
20191,종로5·6가동,부동산중개업,73,4,2,0
20191,종로5·6가동,여관,25,2,0,0
20191,종로5·6가동,고시원,3,0,0,0
20191,종로5·6가동,노래방,15,1,0,0
20191,종로5·6가동,슈퍼마켓,71,0,5,0
20191,종로5·6가동,편의점,2,1,2,26
20191,종로5·6가동,컴퓨터및주변장치판매,13,0,0,0
20191,종로5·6가동,핸드폰,13,0,0,0
20191,종로5·6가동,미곡판매,8,0,1,0
20191,종로5·6가동,육류판매,11,0,0,0
20191,종로5·6가동,수산물판매,1,0,0,0
20191,종로5·6가동,청과상,2,0,0,0
20191,종로5·6가동,반찬가게,12,1,0,1
20191,종로5·6가동,일반의류,232,11,3,16
20191,종로5·6가동,신발,14,0,0,0
20191,종로5·6가동,가방,25,0,0,0
20191,종로5·6가동,안경,9,0,0,0
20191,종로5·6가동,시계및귀금속,19,0,0,0
20191,종로5·6가동,의약품,55,2,1,1
20191,종로5·6가동,의료기기,24,0,0,0
20191,종로5·6가동,서적,43,0,0,0
20191,종로5·6가동,문구,29,0,0,1
20191,종로5·6가동,화장품,16,0,2,1
20191,종로5·6가동,운동/경기용품,54,1,1,0
20191,종로5·6가동,자전거 및 기타운송장비,0,0,1,0
20191,종로5·6가동,완구,2,0,0,0
20191,종로5·6가동,섬유제품,290,2,11,0
20191,종로5·6가동,화초,11,0,1,0
20191,종로5·6가동,애완동물,1,0,0,0
20191,종로5·6가동,가구,2,0,0,0
20191,종로5·6가동,가전제품,6,0,0,0
20191,종로5·6가동,철물점,11,0,0,0
