독산3동,30528,30392,30152,29916,29724,29351,28951,28535,28026,27877,27713,27595,27629,27596,27423,27239,27140,27135,27090,26903,26742,26534
독산4동,18667,18606,18444,18227,18110,18001,17739,17464,17120,17056,16876,16778,16676,16623,16519,16432,16391,16350,16212,16120,16054,15996
돈암1동,16221,16126,16048,15921,15815,15657,15462,15379,15071,14944,14859,14791,14640,14559,14517,14474,14489,14463,14420,14376,14306,14234
돈암2동,25099,25104,25076,25028,24923,24837,24747,24686,24414,24307,24134,23913,23817,23734,23677,23657,23565,23594,23619,23547,23562,23515
동선동,16450,16368,16460,16276,16379,16384,16283,16246,16130,16146,16111,16115,16143,16149,16126,15870,15954,15884,16016,15973,16011,15958
동화동,11214,11163,11064,10995,11023,10943,10893,10827,10750,10586,10508,10433,10389,10333,10225,10199,10184,10188,10136,10120,10136,10103
둔촌2동,28056,27964,27943,27752,27520,27292,27085,26413,25309,25103,24847,24785,24641,24480,24343,24277,24212,24169,24387,24417,24354,24231
등촌1동,23666,23595,23720,23717,23692,23769,24053,24338,24388,24436,24460,24436,24628,24994,25002,24991,24996,25054,25121,25184,25229,25283
등촌2동,22039,21970,21922,21868,21707,21576,21500,21216,20780,20652,20507,20423,20247,20120,19926,19855,19739,19636,19541,19481,19373,19332
등촌3동,33075,32929,32715,32506,32267,32208,31928,31660,31275,31167,30947,30714,30700,30495,30204,30025,29813,29738,29726,29576,29493,29377
마장동,24175,24203,24137,24035,23927,23755,23583,23459,23257,23132,23028,22991,22975,22912,22727,22706,22598,22517,22390,22233,22170,22073
마천1동,21183,21004,20833,20764,20562,20455,20159,19909,19515,19360,19240,19071,18909,18891,18756,18618,18528,18459,18316,18137,18020,17912
마천2동,20563,20435,20315,20242,20108,20068,19882,19719,19362,19284,19060,18866,18597,18488,18275,18150,18089,17961,17906,17743,17595,17466
망우3동,18305,18171,18025,17941,17835,17770,17620,17508,17355,17033,16803,16698,16539,16494,16346,16303,16243,16219,16157,16078,16076,16021
망우본동,31699,31536,31251,31071,30949,30862,30826,30784,30565,30472,31550,32469,35493,35930,35928,35905,36008,36017,35946,36895,37995,38421
망원1동,22198,22144,21995,21856,21705,21449,21280,21113,20897,20773,20575,20351,20258,20073,19850,19757,19684,19632,19499,19475,19399,19267
망원2동,19561,19472,19270,19386,19346,19316,19242,19216,18991,18954,18853,18764,18723,18717,18584,18449,18378,18312,18232,18155,17999,17899
면목2동,26426,26260,26156,25942,25783,25664,25355,25214,25042,24695,24534,24405,24449,24444,24355,24206,24155,24153,24069,24001,23879,23805
면목3·8동,26938,26867,26729,26589,26478,26494,26097,25995,25766,25606,25346,25154,24989,24879,24723,24617,25058,25045,25011,24842,24780,24637
면목4동,20614,20370,20237,20052,19887,19597,19342,19270,19509,19465,19415,19308,19215,19096,18853,18746,18645,18645,18550,18490,18419,18364
면목5동,10059,10003,9876,9825,9672,9675,14296,14661,14720,14811,14868,14897,14959,14911,14836,14836,14793,14769,14735,14740,14641,14611
면목7동,22168,22054,21913,22200,22763,22825,22681,22714,22463,22368,22124,22070,22027,21941,21816,21798,21774,21732,21614,21557,21505,21456
면목본동,36522,36405,36247,36195,36088,35927,35461,35424,35046,34817,34497,34188,34129,34072,33964,33856,33752,33677,33647,33550,33453,33421
명동,3412,3445,3497,3567,3649,3693,3649,3685,3714,3666,3685,3742,3726,3798,3706,3638,3600,3610,3510,3405,3403,3400
명일1동,22356,22405,26212,26758,26538,26550,26572,26377,26123,26109,25947,25941,25884,25804,25697,25641,25572,25554,25415,25383,25239,25194
명일2동,18034,17968,18000,17778,17589,17501,17479,17555,17495,17473,17539,17568,17520,17431,17362,17327,17306,17269,17253,17101,17004,16901
목1동,32310,32163,32111,32173,32231,32095,31771,31727,31418,31143,31001,30883,30696,30667,30565,30536,30432,30403,30386,30419,30349,30283
목2동,31630,31545,31501,31477,31383,31178,30887,30705,30450,30315,30215,30139,30056,29908,29733,29641,29430,29255,29213,29098,28953,28893
목3동,23174,23143,23145,23095,23058,22918,22734,22643,22412,22256,22122,21977,22021,22014,21865,21719,21587,21533,21451,21395,21363,21291
목4동,27322,27180,27053,26909,26774,26531,26305,26190,25966,25788,25669,25544,25441,25336,25208,25018,24810,24801,24686,24619,24526,24398
