"동별","종사자규모별","항목","단위","2019 년","2020 년","2021 년","2022 년",
"종로1.2.3.4가동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","4833","8534","9549","7236",
"종로1.2.3.4가동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","18","15","13","14",
"종로1.2.3.4가동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","12363","10765","9336","9573",
"종로1.2.3.4가동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","10","12","12","15",
"종로1.2.3.4가동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","22186","26175","23200","22855",
"종로5.6가동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","7238","8356","7972","7545",
"종로5.6가동","여성대표자","사업체현황(종사자규모별/동별)(2015년 이후)","","2396","2751","2614","2462",
"종로5.6가동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","24537","25071","22872","21261",
"종로5.6가동","남","사업체현황(종사자규모별/동별)(2015년 이후)","","14825","15322","14187","12981",
"종로5.6가동","여","사업체현황(종사자규모별/동별)(2015년 이후)","","9712","9749","8685","8280",
"종로5.6가동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","6460","7665","7384","6928",
"종로5.6가동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","11827","12318","11823","10951",
"종로5.6가동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","552","487","388","409",
"종로5.6가동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","3291","3010","2437","2541",
"종로5.6가동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","123","113","118","122",
"종로5.6가동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","1570","1461","1543","1582",
"종로5.6가동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","69","57","53","56",
"종로5.6가동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","1909","1580","1462","1583",
"종로5.6가동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","15","13","15","15",
"종로5.6가동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","965","780","968","1093",
"종로5.6가동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","14","16","10","12",
"종로5.6가동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","2259","3021","1721","1949",
"종로5.6가동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","2","2","1","1",
"종로5.6가동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","788","738","352","320",
"종로5.6가동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","3","3","2","2",
"종로5.6가동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","1928","2163","1206","1242",
"종로5.6가동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","","-","1","-",
"종로5.6가동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","","-","1360","-",
"이화동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","1191","1709","1673","1669",
"이화동","여성대표자","사업체현황(종사자규모별/동별)(2015년 이후)","","407","588","560","564",
"이화동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","17244","18742","17365","18939",
"이화동","남","사업체현황(종사자규모별/동별)(2015년 이후)","","7708","8431","6892","7473",
"이화동","여","사업체현황(종사자규모별/동별)(2015년 이후)","","9536","10311","10473","11466",
"이화동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","799","1349","1348","1289",
"이화동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","1638","2281","2355","2144",
"이화동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","238","205","181","218",
"이화동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","1520","1304","1138","1430",
"이화동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","94","95","84","94",
"이화동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","1217","1230","1103","1225",
"이화동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","37","37","38","44",
"이화동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","1028","1023","1035","1198",
"이화동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","13","11","11","12",
"이화동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","962","755","780","814",
"이화동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","4","6","5","6",
"이화동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","527","759","849","766",
"이화동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","1","1","2","2",
"이화동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","471","321","762","863",
"이화동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","4","3","2","2",
"이화동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","3016","1910","1166","1161",
"이화동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","1","2","2","2",
"이화동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","6865","9159","8177","9338",
"창신1동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","2179","2852","2686","2518",
"창신1동","여성대표자","사업체현황(종사자규모별/동별)(2015년 이후)","","707","962","905","861",
"창신1동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","5907","6459","6266","5506",
"창신1동","남","사업체현황(종사자규모별/동별)(2015년 이후)","","2978","3283","3145","2762",
"창신1동","여","사업체현황(종사자규모별/동별)(2015년 이후)","","2929","3176","3121","2744",
"창신1동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","1974","2673","2500","2360",
"창신1동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","3453","4062","3883","3289",
"창신1동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","139","123","123","96",
"창신1동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","833","776","744","591",
"창신1동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","41","31","37","40",
