사용월,호선명_x,지하철역,유임승차인원,무임승차인원,유임하차인원,무임하차인원,작업일자,호선명_y,구,동,구_동,총승하차인원,월,분기
201911,경의선,강매,75174,18722,61701,17593,20191203,0,0,0,0,173190,11,4분기
201910,경의선,강매,77779,20037,64200,18991,20191103,0,0,0,0,181007,10,4분기
201909,경의선,강매,69025,16828,56167,16072,20191003,0,0,0,0,158092,9,3분기
201908,경의선,강매,67230,16547,54693,15654,20190903,0,0,0,0,154124,8,3분기
201907,경의선,강매,73433,17443,59842,16723,20190803,0,0,0,0,167441,7,3분기
201907,경의선,강매,73433,17443,59842,16723,20190803,0,0,0,0,167441,7,3분기
201907,경의선,강매,73433,17443,59842,16723,20190803,0,0,0,0,167441,7,3분기
201906,경의선,강매,69863,17822,57212,17141,20221216,0,0,0,0,162038,6,2분기
201905,경의선,강매,78025,18999,63827,18348,20190603,0,0,0,0,179199,5,2분기
201904,경의선,강매,76709,18665,62711,17826,20190503,0,0,0,0,175911,4,2분기
201903,경의선,강매,73405,17741,59787,16981,20190403,0,0,0,0,167914,3,1분기
201902,경의선,강매,58287,14265,47481,13640,20190303,0,0,0,0,133673,2,1분기
201901,경의선,강매,68817,16219,55740,15458,20190203,0,0,0,0,156234,1,1분기
201912,2호선,강변(동서울터미널),1245774,153741,1228136,149308,20200103,2호선,광진구,구의3동,광진구_구의3동,2776959,12,4분기
201911,2호선,강변(동서울터미널),1234497,151012,1220539,149115,20191203,2호선,광진구,구의3동,광진구_구의3동,2755163,11,4분기
201910,2호선,강변(동서울터미널),1252124,165563,1230291,161334,20191103,2호선,광진구,구의3동,광진구_구의3동,2809312,10,4분기
201909,2호선,강변(동서울터미널),1151211,141369,1144489,137983,20191003,2호선,광진구,구의3동,광진구_구의3동,2575052,9,3분기
201908,2호선,강변(동서울터미널),1232046,144967,1228106,143117,20190903,2호선,광진구,구의3동,광진구_구의3동,2748236,8,3분기
201907,2호선,강변(동서울터미널),1231239,147774,1222330,143602,20190803,2호선,광진구,구의3동,광진구_구의3동,2744945,7,3분기
201906,2호선,강변(동서울터미널),1194678,150896,1180114,147023,20221216,2호선,광진구,구의3동,광진구_구의3동,2672711,6,2분기
201905,2호선,강변(동서울터미널),1310416,160160,1289645,155742,20190603,2호선,광진구,구의3동,광진구_구의3동,2915963,5,2분기
201904,2호선,강변(동서울터미널),1229785,155989,1204504,151691,20190503,2호선,광진구,구의3동,광진구_구의3동,2741969,4,2분기
201903,2호선,강변(동서울터미널),1266670,152907,1239411,148737,20190403,2호선,광진구,구의3동,광진구_구의3동,2807725,3,1분기
201902,2호선,강변(동서울터미널),1142580,126110,1132462,122366,20190303,2호선,광진구,구의3동,광진구_구의3동,2523518,2,1분기
201901,2호선,강변(동서울터미널),1234132,143139,1210954,137791,20190203,2호선,광진구,구의3동,광진구_구의3동,2726016,1,1분기
0,0,강일,0,0,0,0,0,5호선,강동구,강일동,강동구_강일동,0,0,0분기
0,0,강일,0,0,0,0,0,5호선,강동구,강일동,강동구_강일동,0,0,0분기
201912,경춘선,강촌,10802,3608,9398,3581,20200103,0,0,0,0,27389,12,4분기
201911,경춘선,강촌,15118,4363,13398,4256,20191203,0,0,0,0,37135,11,4분기
201910,경춘선,강촌,18938,6239,15483,6041,20191103,0,0,0,0,46701,10,4분기
201909,경춘선,강촌,14872,5014,12191,4779,20191003,0,0,0,0,36856,9,3분기
201908,경춘선,강촌,17882,5311,14002,5252,20190903,0,0,0,0,42447,8,3분기
201907,경춘선,강촌,13616,4768,10951,4758,20190803,0,0,0,0,34093,7,3분기
201906,경춘선,강촌,17412,5636,14425,5674,20221216,0,0,0,0,43147,6,2분기
201905,경춘선,강촌,20442,6853,17067,6662,20190603,0,0,0,0,51024,5,2분기
201904,경춘선,강촌,18108,5564,15320,5348,20190503,0,0,0,0,44340,4,2분기
201903,경춘선,강촌,16359,4402,14133,4322,20190403,0,0,0,0,39216,3,1분기
201902,경춘선,강촌,9978,3335,8623,3412,20190303,0,0,0,0,25348,2,1분기
201901,경춘선,강촌,9716,3707,8853,3635,20190203,0,0,0,0,25911,1,1분기
201912,5호선,개롱,170734,50460,174316,51667,20200103,5호선,송파구,가락2동,송파구_가락2동,447177,12,4분기
201911,5호선,개롱,170920,48871,174193,50281,20191203,5호선,송파구,가락2동,송파구_가락2동,444265,11,4분기
201910,5호선,개롱,172316,52274,174719,53308,20191103,5호선,송파구,가락2동,송파구_가락2동,452617,10,4분기
201909,5호선,개롱,154434,47232,158384,48265,20191003,5호선,송파구,가락2동,송파구_가락2동,408315,9,3분기
201908,5호선,개롱,159395,47962,161923,49164,20190903,5호선,송파구,가락2동,송파구_가락2동,418444,8,3분기
201907,5호선,개롱,170557,50744,172238,52001,20190803,5호선,송파구,가락2동,송파구_가락2동,445540,7,3분기
